その月の社会保険料等控除後の給与等の金額（以上）	その月の社会保険料等控除後の給与等の金額（未満）	扶養親族等の数（０人）	扶養親族等の数（１人）	扶養親族等の数（２人）	扶養親族等の数（３人）	扶養親族等の数（４人）	扶養親族等の数（５人）	扶養親族等の数（６人）	扶養親族等の数（７人）	乙
875000	878000	98650	91370	84080	77240	70910	64580	58240	51910	302600
878000	881000	99300	92020	84740	77810	71480	65150	58810	52480	304100
881000	884000	99960	92680	85390	78380	72050	65720	59380	53050	305500
884000	887000	100610	93330	86050	78950	72620	66290	59950	53620	307000
887000	890000	101270	93990	86700	79520	73190	66860	60520	54190	308400
890000	893000	101930	94640	87360	80090	73760	67430	61090	54760	309800
893000	896000	102580	95300	88010	80730	74330	68000	61660	55330	311300
896000	899000	103240	95950	88670	81390	74900	68570	62230	55900	312700
899000	902000	103890	96610	89330	82040	75470	69140	62800	56470	314200
902000	905000	104550	97260	89980	82700	76040	69710	63370	57040	315600
905000	908000	105200	97920	90640	83350	76610	70280	63940	57610	317000
908000	911000	105860	98580	91290	84010	77180	70850	64510	58180	318500
911000	914000	106510	99230	91950	84660	77750	71420	65080	58750	319900
914000	917000	107170	99890	92600	85320	78320	71990	65650	59320	321400
917000	920000	107830	100540	93260	85980	78890	72560	66220	59890	322800
920000	923000	108480	101200	93910	86630	79460	73130	66790	60460	324200
923000	926000	109140	101850	94570	87290	80030	73700	67360	61030	325700
926000	929000	109790	102510	95230	87940	80660	74270	67930	61600	327100
929000	932000	110450	103160	95880	88600	81310	74840	68500	62170	328600
932000	935000	111100	103820	96540	89250	81970	75410	69070	62740	330000
935000	938000	111760	104480	97190	89910	82620	75980	69640	63310	331400
938000	941000	112410	105130	97850	90560	83280	76550	70210	63880	332900
941000	944000	113070	105790	98500	91220	83940	77120	70780	64450	334300
944000	947000	113720	106440	99160	91870	84590	77690	71350	65020	335800
947000	950000	114380	107100	99810	92530	85250	78260	71920	65590	337200
